VPOL.1	TPHA.1	TBLA.1	NDAI.1	NCAS.1	KNAG.1	KAFR.1	CGLA.1	SUVACBS7001.1	SMIKIFO1815.1	SCERREF.1	ANC	ZROU	TDEL	KLAC	EGOS	ECYM	LKLU	LTHE	LWAL	SCERREF.2	SMIKIFO1815.2	SUVACBS7001.2	CGLA.2	KAFR.2	KNAG.2	NCAS.2	NDAI.2	TBLA.2	TPHA.2	VPOL.2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F02156g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F02178g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F02640g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F02728g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F02750g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F03058g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1032.5	TPHA_TPHA0M00230	TBLA_TBLA0A07300	NDAI_NDAI0K02880	NCAS_NCAS0D02630	KNAG_KNAG0E00920	KAFR_KAFR0L00360	CGLA_CAGL0B03619g	SUVACBS7001_Suva_5.7	SMIKIFO1815_Smik_15.172	SCERREF_YEL060C	ANC_Anc_6.14	ZROU_ZYRO0C07942g	TDEL_TDEL0G04550	KLAC_KLLA0D00979g	EGOS_ACR012C	ECYM_Ecym_3018	LKLU_SAKL0E01012g	LTHE_KLTH0C11396g	LWAL_Kwal_56.22387	SCERREF_YOR003W	SMIKIFO1815_Smik_5.27	SUVACBS7001_Suva_15.178	CGLA_CAGL0E02651g	KAFR_KAFR0B06550	NA	NCAS_NCAS0F00220	NDAI_NDAI0I02280	NA	NA	VPOL_Kpol_1045.75
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F03674g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F04246g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F04268g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F04620g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F04642g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1032.3	TPHA_TPHA0M00220	TBLA_TBLA0G00990	NA	NCAS_NCAS0F00210	KNAG_KNAG0E00930	KAFR_KAFR0L00350	NA	NA	NA	SCERREF_YEL059C-A	ANC_Anc_6.12	ZROU_ZYRO0F00528g	TDEL_TDEL0G04590	KLAC_KLLA0D00880g	EGOS_ACR014C	ECYM_Ecym_3015	LKLU_SAKL0E00924g	LTHE_KLTH0C11484g	LWAL_Kwal_56.22359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F04818g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F04840g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F05214g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F05368g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F05412g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F05434g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F05896g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1032.2	TPHA_TPHA0M00210	TBLA_TBLA0G00980	NDAI_NDAI0K02890	NCAS_NCAS0F00200	KNAG_KNAG0E00940	KAFR_KAFR0L00340	CGLA_CAGL0B03597g	SUVACBS7001_Suva_5.10	SMIKIFO1815_Smik_5.29	SCERREF_YEL058W	ANC_Anc_6.11	ZROU_ZYRO0F00506g	TDEL_TDEL0G04600	KLAC_KLLA0D00858g	EGOS_ACR015W	ECYM_Ecym_3014	LKLU_SAKL0E00902g	LTHE_KLTH0C11506g	LWAL_Kwal_56.22355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F06094g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F08228g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_5.11	SMIKIFO1815_Smik_5.30	SCERREF_YEL057C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F08866g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F09262g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1045.78	TPHA_TPHA0M00190	TBLA_TBLA0A07120	NDAI_NDAI0K02900	NCAS_NCAS0F00190	KNAG_KNAG0E00980	KAFR_KAFR0L00320	CGLA_CAGL0B03575g	SUVACBS7001_Suva_5.12	SMIKIFO1815_Smik_5.31	SCERREF_YEL056W	ANC_Anc_6.9	ZROU_ZYRO0F00462g	TDEL_TDEL0G04620	KLAC_KLLA0D00814g	EGOS_ACR017W	ECYM_Ecym_3012	LKLU_SAKL0E00814g	LTHE_KLTH0C11550g	LWAL_Kwal_56.22345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G02904g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F10252g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F10274g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F10296g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F11132g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F12144g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1045.80	TPHA_TPHA0J00250	TBLA_TBLA0A07210	NDAI_NDAI0K02910	NCAS_NCAS0F00180	KNAG_KNAG0E00970	KAFR_KAFR0L00330	CGLA_CAGL0B03553g	SUVACBS7001_Suva_5.13	SMIKIFO1815_Smik_5.32	SCERREF_YEL055C	ANC_Anc_6.7	ZROU_ZYRO0F00440g	TDEL_TDEL0G04640	KLAC_KLLA0D00792g	EGOS_ACR020C	ECYM_Ecym_3009	LKLU_SAKL0E00770g	LTHE_KLTH0C11594g	LWAL_Kwal_56.22334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F12958g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F13552g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_286.1	TPHA_TPHA0E02000	TBLA_TBLA0D01700	NDAI_NDAI0C01100	NCAS_NCAS0H02530	KNAG_KNAG0B03730	KAFR_KAFR0C05370	CGLA_CAGL0E04136g	SUVACBS7001_Suva_5.16	SMIKIFO1815_Smik_5.34	SCERREF_YEL053C	ANC_Anc_5.521	ZROU_ZYRO0D12408g	TDEL_TDEL0A03850	KLAC_KLLA0A01925g	EGOS_AAR133W	ECYM_Ecym_5471	LKLU_SAKL0G04664g	LTHE_KLTH0G03652g	LWAL_Kwal_47.18669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F13618g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	TPHA_TPHA0C00600	NA	NDAI_NDAI0G02410	NCAS_NCAS0C03100	KNAG_KNAG0A02820	KAFR_KAFR0H02110	CGLA_Cgla_YGOB_YLR146W-A	NA	NA	SCERREF_YLR146W-A	ANC_Anc_8.356	ZROU_ZYRO0F14168g	TDEL_TDEL0F04800	KLAC_KLLA0D17127g	EGOS_Agos_YGOB_YLR146W-A	NA	LKLU_SAKL0H14784g	LTHE_KLTH0G11440g	LWAL_Kwal_YGOB_YLR146W-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VPOL_Kpol_YGOB_YLR146W-A
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F14564g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_363.12	TPHA_TPHA0J03060	TBLA_TBLA0G00890	NDAI_NDAI0C01110	NCAS_NCAS0H02520	KNAG_KNAG0B03740	KAFR_KAFR0C05360	CGLA_CAGL0E04114g	SUVACBS7001_Suva_5.17	SMIKIFO1815_Smik_5.35	SCERREF_YEL052W	ANC_Anc_5.520	ZROU_ZYRO0D12386g	TDEL_TDEL0A03840	KLAC_KLLA0A01947g	EGOS_AAR132C	ECYM_Ecym_5470	LKLU_SAKL0G04642g	LTHE_KLTH0G03674g	LWAL_Kwal_47.18662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F15664g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F15752g	TDEL_TDEL0E00350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_363.11	TPHA_TPHA0J03050	TBLA_TBLA0G00900	NDAI_NDAI0A04110	NCAS_NCAS0A12150	KNAG_KNAG0B03750	KAFR_KAFR0C05350	CGLA_CAGL0J11880g	NA	SMIKIFO1815_Smik_5.36	SCERREF_YEL051W	ANC_Anc_5.518	ZROU_ZYRO0D12342g	TDEL_TDEL0A03820	KLAC_KLLA0A01991g	EGOS_AAR130C	ECYM_Ecym_5468	LKLU_SAKL0G04598g	LTHE_KLTH0G03498g	LWAL_Kwal_47.18688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F16852g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	TPHA_TPHA0E00890	TBLA_TBLA0D00640	NDAI_NDAI0E04300	NCAS_NCAS0E02640	NA	KAFR_KAFR0L01710	NA	SUVACBS7001_Suva_2.54	SMIKIFO1815_Smik_2.53	SCERREF_YBL063W	ANC_Anc_7.387	ZROU_ZYRO0B03234g	TDEL_TDEL0C01600	NA	EGOS_ACR228C	ECYM_Ecym_4688	LKLU_SAKL0F12298g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_363.9	TPHA_TPHA0J03030	TBLA_TBLA0A06910	NDAI_NDAI0C01120	NCAS_NCAS0H02510	KNAG_KNAG0B03760	KAFR_KAFR0C05340	CGLA_CAGL0J11858g	SUVACBS7001_Suva_5.19	SMIKIFO1815_Smik_5.37	SCERREF_YEL050C	ANC_Anc_5.516	ZROU_ZYRO0D12298g	TDEL_TDEL0A03800	KLAC_KLLA0A02035g	EGOS_AAR128W	ECYM_Ecym_5467	LKLU_SAKL0G04554g	LTHE_KLTH0G03476g	LWAL_Kwal_47.18697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F18634g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F18656g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F18700g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0F18722g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00132g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	SUVACBS7001_Suva_5.21	SMIKIFO1815_Smik_5.44	SCERREF_YEL049W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00154g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00176g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00198g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00242g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00286g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00308g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G00330g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.10	TPHA_TPHA0F03430	TBLA_TBLA0D03800	NDAI_NDAI0G00230	NCAS_NCAS0G04210	KNAG_KNAG0G00390	KAFR_KAFR0E00430	CGLA_CAGL0L01155g	SUVACBS7001_Suva_5.22	SMIKIFO1815_Smik_5.45	SCERREF_YEL048C	ANC_Anc_1.491	ZROU_ZYRO0F05544g	TDEL_TDEL0C02480	KLAC_KLLA0F16731g	EGOS_AFR385W	ECYM_Ecym_3561	LKLU_SAKL0D12122g	LTHE_KLTH0C03124g	LWAL_Kwal_27.10092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	TPHA_TPHA0E01670	NA	NDAI_NDAI0A04510	NCAS_NCAS0A11780	NA	NA	CGLA_Cgla_YGOB_YDR374W-A	NA	NA	SCERREF_YDR374W-A	ANC_Anc_5.447	ZROU_ZYRO0G01694g	TDEL_TDEL0D02540	KLAC_KLLA0E02465g	EGOS_Agos_YGOB_YDR374W-A	NA	LKLU_Sklu_YGOB_YDR374W-A	LTHE_Kthe_YGOB_YDR374W-A	LWAL_Kwal_YGOB_YDR374W-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	TPHA_TPHA0F03550	TBLA_TBLA0D03710	NDAI_NDAI0A04000	NCAS_NCAS0A12240	KNAG_KNAG0B00200	KAFR_KAFR0D03660	CGLA_CAGL0H01749g	NA	NA	NA	ANC_Anc_1.511	ZROU_ZYRO0G01870g	TDEL_TDEL0F00500	NA	NA	ECYM_Ecym_3156	LKLU_SAKL0D12738g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VPOL_Kpol_YGOB_1054.49a
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G02750g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G03014g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G03410g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.11	TPHA_TPHA0O00490	TBLA_TBLA0B02110	NDAI_NDAI0G00250	NCAS_NCAS0A13040	KNAG_KNAG0B00330	KAFR_KAFR0E00440	CGLA_CAGL0I01320g	SUVACBS7001_Suva_5.23	SMIKIFO1815_Smik_10.329	SCERREF_YEL047C	ANC_Anc_1.490	ZROU_ZYRO0F05522g	TDEL_TDEL0C02490	KLAC_KLLA0F16753g	EGOS_AFR367W	ECYM_Ecym_3562	LKLU_SAKL0D12056g	LTHE_KLTH0C03146g	LWAL_Kwal_27.10088	SCERREF_YJR051W	SMIKIFO1815_Smik_5.46	SUVACBS7001_Suva_12.135	CGLA_CAGL0L01177g	KAFR_KAFR0I02810	KNAG_KNAG0G00400	NCAS_NCAS0G04200	NDAI_NDAI0B01200	TBLA_TBLA0D03810	TPHA_TPHA0F03420	VPOL_Kpol_370.10
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G03476g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.12	TPHA_TPHA0F03410	TBLA_TBLA0D03820	NDAI_NDAI0B01210	NCAS_NCAS0A13030	KNAG_KNAG0G00410	KAFR_KAFR0E00450	CGLA_CAGL0I01342g	SUVACBS7001_Suva_5.24	SMIKIFO1815_Smik_5.47	SCERREF_YEL046C	ANC_Anc_1.489	ZROU_ZYRO0F05500g	TDEL_TDEL0C02500	KLAC_KLLA0F16775g	EGOS_AFR366W	ECYM_Ecym_3563	LKLU_SAKL0D12034g	LTHE_KLTH0C03168g	LWAL_Kwal_27.10084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G06028g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G06072g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G06116g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.13	TPHA_TPHA0F03390	TBLA_TBLA0D03830	NDAI_NDAI0G00260	NCAS_NCAS0G04190	KNAG_KNAG0G00440	KAFR_KAFR0E00460	CGLA_CAGL0L01199g	SUVACBS7001_Suva_5.25	SMIKIFO1815_Smik_5.49	SCERREF_YEL044W	ANC_Anc_1.488	ZROU_ZYRO0F05478g	TDEL_TDEL0C02510	KLAC_KLLA0F16797g	EGOS_AFR365C	ECYM_Ecym_3564	LKLU_SAKL0D12012g	LTHE_KLTH0C03190g	LWAL_Kwal_27.10110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G06710g	TDEL_TDEL0B02240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G07172g	TDEL_TDEL0F02830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G07392g	TDEL_TDEL0F02940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G07414g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.15	TPHA_TPHA0F03370	TBLA_TBLA0D03840	NDAI_NDAI0G00270	NCAS_NCAS0G04180	KNAG_KNAG0G00450	KAFR_KAFR0E00470	CGLA_CAGL0L01221g	SUVACBS7001_Suva_5.26	SMIKIFO1815_Smik_5.50	SCERREF_YEL043W	ANC_Anc_1.487	ZROU_ZYRO0F05456g	TDEL_TDEL0C02520	KLAC_KLLA0F16819g	EGOS_AFR364C	ECYM_Ecym_3565	LKLU_SAKL0D11990g	LTHE_KLTH0C03234g	LWAL_Kwal_27.10114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G09328g	TDEL_TDEL0F02740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.16	TPHA_TPHA0O00460	TBLA_TBLA0B02140	NDAI_NDAI0G00280	NCAS_NCAS0G04170	KNAG_KNAG0G00460	KAFR_KAFR0E00480	CGLA_CAGL0L01243g	SUVACBS7001_Suva_5.27	SMIKIFO1815_Smik_5.51	SCERREF_YEL042W	ANC_Anc_1.485	ZROU_ZYRO0F05324g	TDEL_TDEL0C02540	KLAC_KLLA0F16863g	EGOS_AFR362C	ECYM_Ecym_3567	LKLU_SAKL0D11924g	LTHE_KLTH0C03300g	LWAL_Kwal_27.10136	NA	NA	NA	NA	NA	NA	NA	NA	TBLA_TBLA0D03850	TPHA_TPHA0F03360	VPOL_Kpol_370.8
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G10230g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G10692g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G10758g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1059.17	TPHA_TPHA0O00450	TBLA_TBLA0B02150	NDAI_NDAI0G00290	NCAS_NCAS0A13010	KNAG_KNAG0G00470	KAFR_KAFR0E00490	CGLA_CAGL0I01386g	SUVACBS7001_Suva_5.28	SMIKIFO1815_Smik_10.327	SCERREF_YEL041W	ANC_Anc_1.484	ZROU_ZYRO0F05302g	TDEL_TDEL0C02550	KLAC_KLLA0F16885g	EGOS_AFR361C	ECYM_Ecym_3568	LKLU_SAKL0D11902g	LTHE_KLTH0C03322g	LWAL_Kwal_27.10143	SCERREF_YJR049C	SMIKIFO1815_Smik_5.52	SUVACBS7001_Suva_12.133	CGLA_CAGL0L01265g	KAFR_KAFR0I02790	KNAG_KNAG0I00280	NCAS_NCAS0G04160	NDAI_NDAI0B01230	TBLA_TBLA0D03860	TPHA_TPHA0F03350	VPOL_Kpol_370.7
VPOL_Kpol_YGOB_11176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC_Anc_4.147a	ZROU_ZYRO0G11176g	TDEL_TDEL0D03040	NA	NA	NA	LKLU_SAKL0H23122g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0B15356g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0G11704g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
